BackT,Clave,Composicion_1,Composicion_2,Composicion_3,Composicion_4,F_Inicio,F_Fin,Trigger,Strike,Cupon,Rentabilidad,ProbNeut_Put,Prob_Put,NPVNeut_Put,NPV_Put,VaR95,ES95,Bloque,Vida_Media,rhoCesta,volatCesta,NPVPut_Back,NCupones_Back,Rentabilidad_Back,Fin_Ventana
1,1,ADOBE ALPHABET AMAZON,ADOBE,ALPHABET,AMAZON,07/30/2018,06/26/2020,0.9,0.75,13.75118424,7.772447821,0.4329,0.15715,-10.78505254,-3.042022685,-12.57438821,-28.56060749,11,0.7886625,0.789261629,0.451656119,0,0,0,783
1,5,ADOBE ALPHABET MICROSOFT,ADOBE,ALPHABET,MICROSOFT,07/30/2018,06/26/2020,0.9,0.95,25.80297999,13.09329779,0.4789,0.23405,-19.8500899,-6.797634941,-23.56872388,-40.07093603,15,0.773525,0.898857297,0.516317656,0,0,0,783
1,5,ADOBE ALPHABET MICROSOFT,ADOBE,ALPHABET,MICROSOFT,07/30/2018,06/26/2020,0.9,0.85,19.78529572,10.60528876,0.45415,0.19595,-15.22071865,-4.652374963,-18.2235531,-34.72576525,15,0.773525,0.898857297,0.516317656,0,0,0,783
1,1,ADOBE ALPHABET AMAZON,ADOBE,ALPHABET,AMAZON,07/30/2018,06/26/2020,1,0.75,13.62168406,8.11834728,0.4809,0.18365,-11.4872413,-3.401212123,-13.67222055,-29.16969298,11,0.8481875,0.789261629,0.451656119,0,0,0,783
1,125,ALPHABET FACEBOOK MICROSOFT,ALPHABET,FACEBOOK,MICROSOFT,07/30/2018,06/26/2020,0.9,0.95,25.61014513,10.10866284,0.4831,0.3047,-19.75983781,-9.662894181,-32.26062261,-46.30800587,15,0.7758125,0.878442057,0.497052546,0,0,0,783
1,125,ALPHABET FACEBOOK MICROSOFT,ALPHABET,FACEBOOK,MICROSOFT,07/30/2018,06/26/2020,0.9,0.85,19.56692811,8.281564415,0.45625,0.26445,-15.09711577,-6.830059761,-26.94902591,-40.99640917,15,0.7758125,0.878442057,0.497052546,0,0,0,783
1,1,ADOBE ALPHABET AMAZON,ADOBE,ALPHABET,AMAZON,07/30/2018,06/26/2020,1.1,0.75,13.31391081,8.255967568,0.5093,0.19995,-11.86331448,-3.641360108,-14.30619121,-29.5901379,12,0.89635,0.789261629,0.451656119,0,0,0,783
1,141,ALPHABET MICROSOFT CANRAIL,ALPHABET,MICROSOFT,CANRAIL,07/30/2018,06/26/2020,0.9,0.95,24.68665442,11.49559219,0.48755,0.2959,-19.08399646,-7.617099744,-22.50516083,-36.1456229,15,0.7773125,0.842567956,0.459805872,0,0,0,783
1,141,ALPHABET MICROSOFT CANRAIL,ALPHABET,MICROSOFT,CANRAIL,07/30/2018,06/26/2020,0.9,0.85,18.62173776,9.517365031,0.45785,0.246,-14.39551798,-4.90821611,-17.21949636,-30.85995843,15,0.7773125,0.842567956,0.459805872,0,0,0,783
1,2,ADOBE ALPHABET COMCAST,ADOBE,ALPHABET,COMCAST,07/30/2018,06/26/2020,0.9,0.75,14.59016777,8.14785128,0.4454,0.1868,-11.48572924,-3.368058354,-13.04342031,-27.91234023,11,0.7916125,0.798829116,0.478699727,0,0,0,783
1,116,ALPHABET COSTCO MICROSOFT,ALPHABET,COSTCO,MICROSOFT,07/30/2018,06/26/2020,0.9,0.95,24.43783418,11.87960605,0.4914,0.2554,-18.91162194,-7.065380881,-23.78596781,-38.88387528,15,0.7781375,0.797571823,0.433987445,0,0,0,783
1,116,ALPHABET COSTCO MICROSOFT,ALPHABET,COSTCO,MICROSOFT,07/30/2018,06/26/2020,0.9,0.85,18.31183832,9.476684567,0.46315,0.21355,-14.17091878,-4.72495692,-18.55283491,-33.65074238,15,0.7781375,0.797571823,0.433987445,0,0,0,783
1,2,ADOBE ALPHABET COMCAST,ADOBE,ALPHABET,COMCAST,07/30/2018,06/26/2020,1,0.75,14.45210427,8.391000374,0.49175,0.21995,-12.16391218,-3.805006886,-13.75648199,-28.62986868,11,0.8465375,0.798829116,0.478699727,0,0,0,783
1,136,ALPHABET MICROSOFT VISA,ALPHABET,MICROSOFT,VISA,07/30/2018,06/26/2020,0.9,0.95,26.13615793,12.92968104,0.48935,0.24815,-20.24728368,-7.355482057,-24.93314294,-42.05291453,15,0.7789625,0.87748954,0.506578763,0,0,0,783
1,136,ALPHABET MICROSOFT VISA,ALPHABET,MICROSOFT,VISA,07/30/2018,06/26/2020,0.9,0.85,20.05037256,10.49393033,0.4619,0.20955,-15.5327184,-5.073567799,-19.67374153,-36.79351312,15,0.7789625,0.87748954,0.506578763,0,0,0,783
1,2,ADOBE ALPHABET COMCAST,ADOBE,ALPHABET,COMCAST,07/30/2018,06/26/2020,1.1,0.75,14.16708,8.542430635,0.5208,0.2365,-12.55612799,-4.047550973,-14.40713989,-29.01079983,12,0.89155,0.798829116,0.478699727,0,0,0,783
1,95,ALPHABET AMAZON MICROSOFT,ALPHABET,AMAZON,MICROSOFT,07/30/2018,06/26/2020,0.9,0.95,24.74418658,12.87547079,0.49515,0.23675,-19.23670465,-6.403323989,-20.7858877,-35.41034904,15,0.781725,0.804782711,0.445286279,0,0,0,783
1,95,ALPHABET AMAZON MICROSOFT,ALPHABET,AMAZON,MICROSOFT,07/30/2018,06/26/2020,0.9,0.85,18.61447071,10.2849009,0.46545,0.19815,-14.47132134,-4.224043875,-15.57763983,-30.20210117,15,0.781725,0.804782711,0.445286279,0,0,0,783
1,3,ADOBE ALPHABET COSTCO,ADOBE,ALPHABET,COSTCO,07/30/2018,06/26/2020,0.9,0.75,13.57484555,7.294386124,0.4308,0.1684,-10.63464045,-3.365543865,-15.00288379,-31.13259565,11,0.7877625,0.773520595,0.439008522,0,0,0,783
1,133,ALPHABET FACEBOOK CANRAIL,ALPHABET,FACEBOOK,CANRAIL,07/30/2018,06/26/2020,0.9,0.95,24.80877802,8.284404435,0.49915,0.3727,-19.31981876,-11.03155038,-32.31720557,-45.70831468,15,0.7830625,0.809354221,0.448259357,0,0,0,783
1,133,ALPHABET FACEBOOK CANRAIL,ALPHABET,FACEBOOK,CANRAIL,07/30/2018,06/26/2020,0.9,0.85,18.62759187,6.944444735,0.46985,0.32135,-14.50622431,-7.566083517,-27.15746065,-40.54856976,15,0.7830625,0.809354221,0.448259357,0,0,0,783
1,3,ADOBE ALPHABET COSTCO,ADOBE,ALPHABET,COSTCO,07/30/2018,06/26/2020,1,0.75,13.4179837,7.548668554,0.4795,0.1985,-11.34074172,-3.819405999,-16.46112522,-32.10355724,11,0.8500875,0.773520595,0.439008522,0,0,0,783
1,63,ADOBE MICROSOFT CANRAIL,ADOBE,MICROSOFT,CANRAIL,07/30/2018,06/26/2020,0.9,0.95,26.35101351,14.55797988,0.49915,0.2297,-20.53127319,-6.026483873,-18.13969697,-36.16992919,15,0.7834625,0.840027898,0.493408116,0,0,0,783
1,63,ADOBE MICROSOFT CANRAIL,ADOBE,MICROSOFT,CANRAIL,07/30/2018,06/26/2020,0.9,0.85,20.15625634,11.79145103,0.4728,0.18415,-15.70465611,-3.9604171,-12.99305691,-31.02328913,15,0.7834625,0.840027898,0.493408116,0,0,0,783
1,3,ADOBE ALPHABET COSTCO,ADOBE,ALPHABET,COSTCO,07/30/2018,06/26/2020,1.1,0.75,13.07585839,7.613938072,0.506,0.21685,-11.68150434,-4.096006861,-17.10286091,-32.75469066,12,0.8986875,0.773520595,0.439008522,0,0,0,783
1,38,ADOBE COSTCO MICROSOFT,ADOBE,COSTCO,MICROSOFT,07/30/2018,06/26/2020,0.9,0.95,25.99536234,15.13169295,0.4994,0.1768,-20.26255052,-5.190976928,-18.45945465,-38.57971343,15,0.7837875,0.814151271,0.470223865,0,0,0,783
1,38,ADOBE COSTCO MICROSOFT,ADOBE,COSTCO,MICROSOFT,07/30/2018,06/26/2020,0.9,0.85,19.8118559,11.89498515,0.4714,0.14365,-15.44270574,-3.597147917,-13.30600971,-33.42626848,15,0.7837875,0.814151271,0.470223865,0,0,0,783
1,4,ADOBE ALPHABET FACEBOOK,ADOBE,ALPHABET,FACEBOOK,07/30/2018,06/26/2020,0.9,0.75,14.66382947,6.593156403,0.43295,0.2212,-11.44578307,-4.86720057,-22.39602585,-36.98305045,11,0.784875,0.854779371,0.501881054,0,0,0,783
1,128,ALPHABET FACEBOOK VISA,ALPHABET,FACEBOOK,VISA,07/30/2018,06/26/2020,0.9,0.95,26.4801976,9.722898586,0.5001,0.3331,-20.64310459,-10.92480124,-34.94306156,-49.2872412,15,0.7838875,0.845921823,0.494796679,0,0,0,783
